GeneID,Entrez,Phylostrata
A1BG,1,12
A1CF,29974,4
A2M,2,5
A2ML1,144568,5
A4GALT,53947,2
A4GNT,51146,9
AAAS,8086,2
AACS,65985,1
AADAC,13,1
AADACL2,344752,1
AADACL3,126767,6
AADACL4,343066,8
AAED1,195827,2
AAGAB,79719,5
AAK1,22848,2
AAMP,14,2
AANAT,15,1
AAR2,25980,2
AARD,441376,13
AARS2,57505,1
AASDH,132949,1
AASDHPPT,60496,1
AASS,10157,1
AATF,26574,2
AATK,9625,8
ABAT,18,1
ABCA1,19,1
ABCA10,10349,1
ABCA13,154664,1
ABCA3,21,1
ABCA4,24,1
ABCA5,23461,1
ABCA6,23460,1
ABCA7,10347,1
ABCA8,10351,1
ABCA9,10350,1
ABCB1,5243,1
ABCB10,23456,1
ABCB11,8647,1
ABCB4,5244,1
ABCB5,340273,1
ABCB6,10058,1
ABCB7,22,1
ABCB8,11194,1
ABCB9,23457,1
ABCC1,4363,1
ABCC10,89845,1
ABCC11,85320,1
ABCC12,94160,1
ABCC2,1244,1
ABCC3,8714,1
ABCC4,10257,1
ABCC5,10057,1
ABCC6,368,1
ABCC8,6833,1
ABCC9,10060,1
ABCD1,215,1
ABCD2,225,1
ABCD3,5825,1
ABCD4,5826,1
ABCF1,23,1
ABCF2,10061,2
ABCF3,55324,1
ABCG1,9619,1
ABCG2,9429,1
ABCG4,64137,1
ABCG5,64240,6
ABCG8,64241,1
ABHD1,84696,1
ABHD10,55347,1
ABHD11,83451,1
ABHD12,26090,3
ABHD12B,145447,9
ABHD13,84945,1
ABHD14A-ACY1,95,1
ABHD14B,84836,1
ABHD15,116236,2
ABHD16A,7920,4
ABHD16B,140701,10
ABHD17B,51104,2
ABHD17C,58489,2
ABHD2,11057,4
ABHD3,171586,1
ABHD4,63874,2
ABHD5,51099,2
ABHD6,57406,1
ABHD8,79575,1
ABI1,10006,4
ABI2,10152,4
ABI3,51225,9
ABI3BP,25890,8
ABL1,25,5
ABL2,27,5
ABLIM2,84448,4
ABLIM3,22885,4
ABR,29,5
ABRA,137735,5
ABRACL,58527,2
ABT1,29777,2
ABTB1,80325,2
ABTB2,25841,5
AC002321.1,100996390,8
AC002321.2,000,8
AC002365.1,100288814,8
AC002472.13,400891,2
AC003102.1,000,15
AC004381.6,81691,5
AC005082.1,000,14
AC005493.1,000,15
AC005544.1,101929306,15
AC005841.1,101929469,4
AC006156.1,000,16
AC006455.1,000,16
AC006486.1,000,15
AC006547.14,388849,14
AC007401.2,000,15
AC007952.1,000,15
AC007952.6,000,15
AC007956.1,000,15
AC008060.7,000,15
AC008132.13,000,12
AC008686.1,000,15
AC009065.1,000,15
AC009365.3,286023,15
AC009403.2,100506302,15
AC011043.1,389831,15
AC011484.1,000,15
AC011500.1,000,15
AC012123.1,000,13
AC016745.1,000,15
AC016757.3,151174,14
AC017028.1,000,15
AC018755.1,000,15
AC018867.1,000,15
AC022498.1,000,15
AC024940.1,000,14
AC025278.1,000,15
AC025287.1,000,12
AC026703.1,000,15
AC027763.2,000,15
AC040160.1,000,6
AC073343.1,000,15
AC074091.13,000,15
AC074212.3,000,14
AC074389.6,000,15
AC079612.1,000,15
AC083862.1,000,14
AC090616.2,000,15
AC091801.1,000,15
AC092964.1,000,16
AC093802.1,000,15
AC097381.1,000,10
AC099552.4,000,15
AC104472.1,000,7
AC104809.3,728763,2
AC109135.1,000,2
AC110619.2,000,15
AC110781.3,100128374,15
AC112715.2,000,14
AC114546.1,000,15
AC115618.1,000,15
AC124890.1,000,5
AC129492.6,000,15
AC131097.4,285095,9
AC131971.1,000,15
AC136604.1,000,14
AC139426.2,000,16
AC142381.1,000,16
AC242842.2,000,15
ACAA1,30,1
ACAA2,10449,1
ACACA,31,2
ACACB,32,2
ACAD10,80724,1
ACAD11,84129,1
ACAD8,27034,2
ACAD9,28976,1
ACADL,33,1
ACADM,34,1
ACADS,35,1
ACADSB,36,1
ACADVL,37,1
ACAN,176,7
ACAP1,9744,2
ACAP2,23527,2
ACAP3,116983,2
ACAT1,38,1
ACAT2,39,1
ACBD3,64746,4
ACBD4,79777,8
ACBD5,91452,2
ACBD6,84320,2
ACCSL,390110,2
ACD,65057,8
ACE,1636,4
ACE2,59272,8
ACER1,125981,8
ACER2,340485,4
ACER3,55331,2
ACIN1,22985,2
ACKR2,1238,9
ACKR3,57007,8
ACKR4,51554,8
ACMSD,130013,1
ACN9,57001,2
ACO1,48,1
ACO2,50,1
ACOT1,641371,1
ACOT11,26027,1
ACOT12,134526,8
ACOT13,55856,1
ACOT2,10965,1
ACOT4,122970,6
ACOT6,641372,14
ACOT7,11332,1
ACOT8,10005,1
ACOT9,23597,2
ACOX1,51,2
ACOX2,8309,2
ACOX3,8310,2
ACOXL,55289,2
ACP1,52,1
ACP2,53,2
ACP5,54,2
ACP6,51205,2
ACPL2,92370,4
ACPP,55,2
ACPT,93650,12
ACR,49,8
ACRBP,84519,9
ACRC,93953,2
ACRV1,56,10
ACSBG1,23205,1
ACSBG2,81616,1
ACSF2,80221,1
ACSF3,197322,1
ACSL1,2180,1
ACSL3,2181,1
ACSL5,51703,1
ACSL6,23305,1
ACSM1,116285,1
ACSM2A,123876,1
ACSM2B,348158,1
ACSM3,6296,1
ACSM4,341392,1
ACSM5,54988,1
ACSS1,84532,1
ACSS2,55902,1
ACSS3,79611,1
ACTA1,58,2
ACTA2,59,2
ACTB,60,2
ACTBL2,345651,2
ACTC1,70,2
ACTG1,60,2
ACTG2,72,2
ACTL10,170487,11
ACTL6A,86,2
ACTL6B,51412,2
ACTL7A,10881,11
ACTL7B,10880,11
ACTL8,81569,12
ACTL9,284382,11
ACTN1,87,2
ACTN2,88,2
ACTN4,81,2
ACTR10,55860,2
ACTR1A,10121,2
ACTR1B,10120,2
ACTR2,10097,2
ACTR3,10096,2
ACTR3B,57180,2
ACTR5,79913,2
ACTR6,64431,2
ACTR8,93973,2
ACTRT1,139741,10
ACTRT2,140625,10
ACTRT3,84517,11
ACVR1,90,4
ACVR1B,91,4
ACVR1C,130399,4
ACVR2A,92,4
ACVR2B,93,4
ACY3,91703,8
ACYP1,97,1
ACYP2,98,1
ADA,100,1
ADAD1,132612,8
ADAD2,161931,8
ADAL,161823,1
ADAM10,102,4
ADAM11,4185,6
ADAM12,8038,4
ADAM15,8751,11
ADAM17,6868,4
ADAM18,8749,11
ADAM19,8728,4
ADAM2,2515,9
ADAM20,8748,9
ADAM21,8747,9
ADAM23,8745,6
ADAM28,10863,8
ADAM29,11086,9
ADAM30,11085,10
ADAM32,203102,9
ADAM33,80332,4
ADAM7,8756,10
ADAMDEC1,27299,10
ADAMTS1,9510,5
ADAMTS10,81794,5
